Campaign,Campaign type,Campaign daily budget,Networks,Languages,Bid strategy type,Maximum CPC bid limit,Campaign status,Mobile Bid Modifier,Tablet Bid Modifier,Location ID,Ad Group,Ad Group Status,Max CPC,Keyword,Type,Status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Link Text,Callout text,Header,Snippet Values,Platform Targeting,Comment
US | Search | Competitor | OpenCode,Search,41.12,Google Search,en,Maximize clicks,2.50,Paused,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella launch campaign; review location presence setting before enabling
US | Search | Competitor | OpenCode,,,,,,,,,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,Paused,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Coding Agent,Search,65.79,Google Search,en,Maximize clicks,2.50,Paused,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella launch campaign; review location presence setting before enabling
US | Search | Coding Agent,,,,,,,,,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Coding Agent,,,,,,,,,,,Coding Agent,Paused,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,Search,57.56,Google Search,en,Maximize clicks,2.50,Paused,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella launch campaign; review location presence setting before enabling
US | Search | Personal Work,,,,,,,,,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,Paused,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode,exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode ai,exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode go,exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode pricing,exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode coding agent,exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,opencode alternative,phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
