campaign,ad_group,keyword,match_type
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork pricing",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork alternative",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork app",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork desktop",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork for windows",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"claude cowork for mac",exact
US | Search | Competitor | Claude Cowork,Claude Cowork,"alternative to claude cowork",phrase
US | Search | Competitor | Claude Cowork,Claude Cowork,"ai coworker for computer",phrase
US | Search | Competitor | Claude Cowork,Claude Cowork,"ai coworker for work",phrase
US | Search | Competitor | Claude Cowork,Claude Cowork,"desktop ai coworker",phrase
US | Search | Personal Work,Personal Work,"personal ai assistant",exact
US | Search | Personal Work,Personal Work,"ai personal assistant",phrase
US | Search | Personal Work,Personal Work,"ai assistant for computer",phrase
US | Search | Personal Work,Personal Work,"desktop ai agent",exact
US | Search | Personal Work,Personal Work,"computer use ai agent",phrase
US | Search | Personal Work,Personal Work,"ai agent for my computer",phrase
US | Search | Personal Work,Personal Work,"ai agent for work",phrase
US | Search | Personal Work,Personal Work,"ai knowledge worker",phrase
US | Search | Personal Work,Personal Work,"ai research assistant",phrase
US | Search | Personal Work,Personal Work,"ai agent for documents",phrase
US | Search | Personal Work,Personal Work,"ai spreadsheet assistant",phrase
