campaign,ad_group,final_url,asset_type,text,position
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Meet Stella Personal AI,1
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Your AI Coworker,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,AI Coworker for Your PC,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,One Agent for Real Work,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Research Docs and Browser,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Work Across Files and Apps,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,AI That Uses Your Computer,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Local-First Personal AI,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Start Free With Stella,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,$5 First Month,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Open Source. Local First.,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,headline,Mac and Windows AI Agent,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,description,"Delegate research, documents, browser tasks and desktop work to one capable AI agent.",
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,description,Start free with your own models or use Stella managed AI for $5 the first month.,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,description,"Open source for Mac and Windows, with chats and work stored on your computer.",
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,description,Turn requests into finished files and actions across the tools you already use.,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,AI Coworker for Your Computer,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Personal AI That Takes Action,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Delegate Work to Stella,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Research Write and Build Files,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Use Your Browser and Apps,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Work Across Your Computer,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,One Assistant. More Done.,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Your Work Stays Local,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Bring Your Own AI Models,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Start Free With Stella,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,$5 First Month,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,headline,Stella for Mac and Windows,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,description,"A serious desktop AI assistant for research, documents, browser tasks, files and apps.",
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,description,Start free or use Stella managed AI for $5 the first month. No coding required.,
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,description,"Local-first and open source, with one focused chat for every project.",
