Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,Devices,EU political ads,Ad group status,Ad group,Ad group type,Default max. CPC,Keyword status,Keyword,Negative keyword,Level,Type,Ad status,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Campaign,Add,Paused,US | Search | Competitor | Claude Cowork,Search,Google search,41.12,Daily,Maximize clicks,en,United States,Computers; Mobile devices with full browsers:-100%; Tablets with full browsers:-100%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,Enabled,Claude Cowork,Standard,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,US | Search | Personal Work,Search,Google search,57.56,Daily,Maximize clicks,en,United States,Computers; Mobile devices with full browsers:-100%; Tablets with full browsers:-100%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,US | Search | Personal Work,,,,,,,,,,Enabled,Personal Work,Standard,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork pricing,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork alternative,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork app,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork desktop,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork for windows,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,claude cowork for mac,,,Exact match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,alternative to claude cowork,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,ai coworker for computer,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,ai coworker for work,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,Enabled,desktop ai coworker,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
