Campaign,Campaign type,Campaign daily budget,Networks,Languages,Bid strategy type,Maximum CPC bid limit,Campaign status,Mobile Bid Modifier,Tablet Bid Modifier,Location ID,Ad Group,Ad Group Status,Max CPC,Keyword,Type,Status,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Link Text,Callout text,Header,Snippet Values,Platform Targeting,Comment
US | Search | Competitor | Claude Cowork,Search,41.12,Google Search,en,Maximize clicks,2.50,Paused,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella launch campaign; review location presence setting before enabling
US | Search | Competitor | Claude Cowork,,,,,,,,,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,Search,57.56,Google Search,en,Maximize clicks,2.50,Paused,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella launch campaign; review location presence setting before enabling
US | Search | Personal Work,,,,,,,,,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork pricing,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork alternative,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork app,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
